Biodiversity Policy,Climate Change Policy,Company,Company Id,Country,Date,Emissions Reduction Initiatives,Energy Efficiency Policy,Equal Opportunity Policy,Fair Remuneration Policy,Fiscal Year,Gender Pay Gap Breakout,Health Safety Policy,Human Rights Policy,Industry,Industry 2,Industry 3,Industry 4,Nb of Environmental Fines,Risks of Climate Change Discussed,Waste Reduction Policy,Water Policy,Years Auditor Employed,CO2 Emissions,CO2 per Sales,Direct CO2 Emissions,Energy Consumption,ESG Score,Indirect CO2 Emissions,Market Cap,Nb Fatalities,Nb of Employees,Pct Women in Management,Pct Women on Board,Row Id,Waste
Y,Y,Company 1,1,Indonesia,01-Jan-14,N,Y,N,Y,2014,N.A.,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,Y,Y,Y,N.A.,0.057,0.316,0.031,,25.57,0.026,17574.4439,,259.331,,0.098607072,10890,
Y,N,Company 1,1,Indonesia,01-Jan-20,N,N,N,N,2020,Y,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,N,N,Y,42,0.282,1.847,0.141,2.22,42.5,0.141,17232.5546,,221.165,0.1326,0.326081808,10884,0.105
Y,N,Company 1,1,Indonesia,01-Jan-19,N,N,N,N,2019,Y,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,Y,N,Y,34,0.296,0.298,0.156,2.38,45.79,0.14,18613.9051,,253.592,0.2745,0.317088285,10885,0.107
Y,N,Company 1,1,Indonesia,01-Jan-18,N,N,N,N,2018,Y,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,Y,N,Y,41,0.314,0.484,0.158,,35.7,0.156,14351.5871,,250.795,0.2383,0.221906518,10886,
Y,Y,Company 1,1,Indonesia,01-Jan-16,N,N,N,N,2016,Y,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,Y,N,Y,42,0.549,0.955,0.28,,35.15,0.269,16668.9627,,264.743,0.1927,0.294612111,10888,
Y,Y,Company 1,1,Indonesia,01-Jan-17,Y,N,N,N,2017,Y,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,Y,N,Y,38,0.374,0.472,0.191,,41.45,0.183,18940.3049,,207.888,0.2458,0.204194750,10887,
Y,Y,Company 1,1,Indonesia,01-Jan-15,N,Y,N,Y,2015,Y,N,N,Financials,Financial Services,Asset Management,Private Equity,N.A.,Y,Y,Y,42,0.541,0.895,0.271,,27.48,0.27,18879.7423,,271.219,0.113,0.323617022,10889,
Y,Y,Company 2,2,Argentina,01-Jan-15,Y,Y,Y,N,2015,N,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,N,Y,Y,16,7807.518,188.382,4108.706,6292.87,44.35,3698.812,118619.3614,0,97899.109,,0.151624727,10882,420.043
Y,Y,Company 2,2,Argentina,01-Jan-14,Y,Y,Y,N,2014,N.A.,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,N,Y,Y,N.A.,8773.152,208.75,4794.679,6520.05,44.69,3978.473,126976.2748,0,97062.423,,0.138205767,10883,482.707
Y,Y,Company 2,2,Argentina,01-Jan-16,Y,Y,Y,N,2016,N,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,N,Y,Y,17,8345.828,278.488,4229.771,8910.56,48.74,4116.057,117572.8512,1,101825.658,,0.158448721,10881,453.376
Y,Y,Company 2,2,Argentina,01-Jan-20,Y,Y,Y,N,2020,N,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,Y,Y,Y,39,7398.918,181.407,4063.23,6994.47,56.59,3335.688,126261.2369,0,101038.294,,0.225604635,10877,509.634
Y,Y,Company 2,2,Argentina,01-Jan-17,Y,Y,Y,N,2017,N,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,N,Y,Y,32,7603.235,267.306,3900.143,7685.63,42.58,3703.092,110681.4258,1,98271.876,,0.217204381,10880,495.839
Y,Y,Company 2,2,Argentina,01-Jan-19,Y,Y,Y,N,2019,N,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,Y,Y,Y,36,8312.035,209.048,4467.772,7239.41,45.68,3844.263,110044.3956,0,99058.188,,0.223651236,10878,550.023
Y,Y,Company 2,2,Argentina,01-Jan-18,Y,Y,Y,N,2018,N,Y,Y,Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,N.A.,Y,Y,Y,42,8761.479,229.382,4413.236,9082.49,49.89,4348.243,113283.2549,1,91581.07,,0.187474341,10879,547.621
N.A.,N.A.,Company 3,3,Argentina,01-Jan-15,N.A.,N.A.,N.A.,N.A.,2015,N.A.,N.A.,N.A.,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,N.A.,N.A.,N.A.,N.A.,72,142.631,86.132,75.215,,10.1,67.416,11607.9094,,14488.614,,0.098270002,10875,
N.A.,N.A.,Company 3,3,Argentina,01-Jan-18,N.A.,Y,Y,N.A.,2018,N.A.,Y,N.A.,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,N.A.,N.A.,Y,Y,80,125.602,44.112,64.856,493.68,21.77,60.746,9787.4334,,14962.867,,0.130006773,10872,
N.A.,N.A.,Company 3,3,Argentina,01-Jan-16,N.A.,N.A.,N.A.,N.A.,2016,N.A.,N.A.,N.A.,Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,N.A.,N.A.,N.A.,N.A.,101,135.185,63.536,69.532,,10.38,65.653,12826.7819,,14297.025,,0.149624009,10874,
